DROUGHT.22069	541	90	0.5448	0.0274976157783
THHALV10003497M.G	315	315	0.831	0.0609524347678
THHALV10026076M.G	999	750	0.9175	0.079525168764
THHALV10028346M.G	309	309	0.8421	0.0643263297674
DROUGHT.25549	923	198	0.4272	-0.0194376300721
DROUGHT.8687	364	93	1.0877	0.0735905012433
THHALV10008717M.G	867	669	0.7318	0.0511804925008
THHALV10013645M.G	1536	1272	1.0548	0.100678961309
THHALV10019403M.G	310	231	0.8101	0.00154023566099
THHALV10026560M.G	694	390	1.1515	0.034781855131
DROUGHT.16541	705	489	0.7335	0.0524141191725
THHALV10001220M.G	489	489	1.0606	0.092727689656
THHALV10010948M.G	342	279	1.0139	0.0950655183985
THHALV10015419M.G	348	348	0.7771	0.0496068877313
THHALV10028109M.G	516	357	1.0852	0.185666714021
DROUGHT.14726	288	0	0	0
DROUGHT.17279	2519	402	1.2917	0.0892422730034
DROUGHT.18601	302	132	0.7686	0.00710574918993
DROUGHT.8974	327	12	0.8485	0.277000068478
THHALV10015346M.G	216	216	0.8191	0.0291329961982
THHALV10017495M.G	306	234	0.655	0.0900193356539
THHALV10019790M.G	234	234	0.8965	0.0185056711005
DROUGHT.10581	153	33	0.7516	-0.000421747373481
THHALV10005436M.G	363	363	1.1446	0.194823804802
THHALV10009335M.G	285	285	0.7295	0.028302182003
THHALV10015214M.G	243	207	0.7264	-0.00993604698164
DROUGHT.19315	326	48	0.6452	0.0220778380311
DROUGHT.4899	523	225	0.8589	0.0159714768284
DROUGHT.5930	843	216	0.7887	-0.0379841805264
THHALV10019521M.G	450	450	0.867	0.166377708863
THHALV10026644M.G	342	318	0.7431	0.0742457625376
DROUGHT.23469	251	111	0.7104	0.0808915414829
THHALV10002256M.G	387	159	0.9858	0.0340534330514
THHALV10002997M.G	510	510	0.9333	0.0454457542233
THHALV10006380M.G	324	324	0.7271	0.0964494197012
THHALV10007884M.G	1167	1167	1.0159	0.148747497555
THHALV10009216M.G	264	264	0.8877	-0.0343602092613
THHALV10017267M.G	845	591	1.0041	0.0908561755937
THHALV10017942M.G	243	243	0.917	-0.00497128230304
THHALV10023899M.G	399	213	1.0143	0.15901442201
THHALV10027129M.G	744	744	0.9137	0.106517240081
THHALV10029377M.G	375	375	1.3069	0.124432957752
